Date,Gold Index Prices
4/1/88,480.5
5/1/88,475.5
6/1/88,481.4
7/1/88,483.5
8/1/88,483.9
11/1/88,483.9
12/1/88,480.4
13/1/88,481.9
14/1/88,481.4
15/1/88,480.3
18/1/88,475.4
19/1/88,477.1
20/1/88,477.65
21/1/88,477.2
22/1/88,476.2
25/1/88,476.25
26/1/88,469.75
27/1/88,465
28/1/88,466.35
29/1/88,458
1/2/88,452.7
2/2/88,455.9
3/2/88,445.4
4/2/88,443.25
5/2/88,441.7
8/2/88,442.1
9/2/88,438.6
10/2/88,441.1
11/2/88,440.6
12/2/88,443.6
15/2/88,445.5
16/2/88,445
17/2/88,445.6
18/2/88,447.25
19/2/88,442.9
22/2/88,445.5
23/2/88,442.4
24/2/88,435.75
25/2/88,432.1
26/2/88,430.45
29/2/88,426.15
1/3/88,429.3
2/3/88,428.9
3/3/88,429.1
4/3/88,431.8
7/3/88,435.9
8/3/88,436.35
9/3/88,436.5
10/3/88,442.4
11/3/88,441.8
14/3/88,442.25
15/3/88,442.2
16/3/88,446.2
17/3/88,445.5
18/3/88,442.85
21/3/88,449.25
22/3/88,447.9
23/3/88,449.5
24/3/88,453.95
25/3/88,451.8
28/3/88,453.9
29/3/88,454.9
30/3/88,453.75
31/3/88,456.95
1/4/88,456.95
4/4/88,456.95
5/4/88,453.6
6/4/88,449.85
7/4/88,447.2
8/4/88,449.4
11/4/88,448.8
12/4/88,450.8
13/4/88,449.35
14/4/88,450.35
15/4/88,456.3
18/4/88,458
19/4/88,456.9
20/4/88,457.4
21/4/88,454.25
22/4/88,448.6
25/4/88,450.2
26/4/88,447
27/4/88,450.3
28/4/88,452.1
29/4/88,449
2/5/88,449
3/5/88,445.9
4/5/88,443.25
5/5/88,444.85
6/5/88,442.8
9/5/88,440.4
10/5/88,446.65
11/5/88,449.1
12/5/88,451
13/5/88,449.5
16/5/88,453.25
17/5/88,454.7
18/5/88,454
19/5/88,457.9
20/5/88,454.9
23/5/88,457.25
24/5/88,457.25
25/5/88,453.9
26/5/88,453.25
27/5/88,452
30/5/88,452
31/5/88,455.5
1/6/88,456.75
2/6/88,453.7
3/6/88,464.7
6/6/88,464.55
7/6/88,464.4
8/6/88,457.85
9/6/88,455.45
10/6/88,457.6
13/6/88,449
14/6/88,446.5
15/6/88,452
16/6/88,453.9
17/6/88,450.25
20/6/88,454.2
21/6/88,451.65
22/6/88,448.5
23/6/88,447.8
24/6/88,443.25
27/6/88,443.3
28/6/88,443.85
29/6/88,433.55
30/6/88,436.55
1/7/88,436.85
4/7/88,436.85
5/7/88,437.55
6/7/88,436.8
7/7/88,440.9
8/7/88,439.4
11/7/88,436.8
12/7/88,433.8
13/7/88,435
14/7/88,440.75
15/7/88,439.1
18/7/88,435.65
19/7/88,436.25
20/7/88,444
21/7/88,444.75
22/7/88,442.2
25/7/88,438.5
26/7/88,431.2
27/7/88,432.85
28/7/88,432.75
29/7/88,436.8
1/8/88,434.6
2/8/88,432.75
3/8/88,434.1
4/8/88,433.1
5/8/88,432.85
8/8/88,432
9/8/88,425.8
10/8/88,427.2
11/8/88,427.95
12/8/88,433.25
15/8/88,430.25
16/8/88,432.65
17/8/88,429
18/8/88,430.5
19/8/88,432.6
22/8/88,431
23/8/88,432.6
24/8/88,433
25/8/88,434.2
26/8/88,433.15
29/8/88,433.15
30/8/88,427.75
31/8/88,427.75
1/9/88,430.4
2/9/88,428.75
5/9/88,428.75
6/9/88,428.45
7/9/88,427.25
8/9/88,428.25
9/9/88,429.4
12/9/88,419.4
13/9/88,420.45
14/9/88,421.5
15/9/88,418.85
16/9/88,415.15
19/9/88,409
20/9/88,410
21/9/88,400.65
22/9/88,397.75
23/9/88,400.35
26/9/88,395.3
27/9/88,397.1
28/9/88,395.4
29/9/88,398.5
30/9/88,397.7
3/10/88,396
4/10/88,398.5
5/10/88,395.45
6/10/88,403.75
7/10/88,403.9
10/10/88,406.75
11/10/88,407.25
12/10/88,406.4
13/10/88,406.7
14/10/88,407.6
17/10/88,413
18/10/88,411.45
19/10/88,411.25
20/10/88,412.2
21/10/88,410.25
24/10/88,405.5
25/10/88,407.65
26/10/88,407.4
27/10/88,407.5
28/10/88,411.5
31/10/88,412.4
1/11/88,410.9
2/11/88,414.75
3/11/88,423.4
4/11/88,421
7/11/88,420.6
8/11/88,418.35
9/11/88,420.8
10/11/88,419.1
11/11/88,420.3
14/11/88,419.3
15/11/88,424
16/11/88,423.85
17/11/88,422
18/11/88,417.75
21/11/88,415.95
22/11/88,418.4
23/11/88,419.25
24/11/88,419.95
25/11/88,424.1
28/11/88,424.25
29/11/88,423.1
30/11/88,422.6
1/12/88,424.75
2/12/88,424.25
